epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.344,1.5306,5.64475,1.45695,0.91697,0.30966,0.34655,0.199,1.61512,6.42877,1.62555,0.000553682,0.000553682,0.000553682
2,491.508,1.77585,3.53953,1.604,0.27681,0.32933,0.29409,0.15981,1.77647,3.58917,1.7551,0.00105444,0.00105444,0.00105444
3,743.933,1.8169,2.71168,1.65455,0.98319,0.34627,0.37265,0.23117,1.76005,2.3672,1.7155,0.00150018,0.00150018,0.00150018
4,1012.43,1.79098,2.51473,1.62427,0.53716,0.38034,0.39582,0.22133,1.82158,1.97904,1.66453,0.00141945,0.00141945,0.00141945
5,1274.7,1.75209,2.35165,1.58641,0.4812,0.35982,0.37964,0.21641,1.69852,2.11778,1.60893,0.00133693,0.00133693,0.00133693
6,1552.43,1.73146,2.31836,1.5921,0.46871,0.39764,0.41726,0.25203,1.5995,1.81846,1.5865,0.00125442,0.00125442,0.00125442
7,1829.14,1.6862,2.19123,1.54462,0.40651,0.43338,0.42778,0.25471,1.64435,1.70962,1.55434,0.0011719,0.0011719,0.0011719
8,2104.65,1.68087,2.11367,1.53999,0.58386,0.41286,0.45593,0.26791,1.63247,1.57835,1.53484,0.00108938,0.00108938,0.00108938
9,2378.46,1.623,2.02996,1.50607,0.58071,0.43235,0.47559,0.2821,1.59356,1.54557,1.50922,0.00100687,0.00100687,0.00100687
10,2654.34,1.61317,1.97461,1.47761,0.63052,0.41968,0.46478,0.28507,1.5163,1.53254,1.48519,0.000924352,0.000924352,0.000924352
11,2944.27,1.59001,1.73778,1.55547,0.53456,0.45829,0.47512,0.28072,1.58286,1.51892,1.50969,0.000841835,0.000841835,0.000841835
12,3234.42,1.55472,1.67898,1.52491,0.54622,0.46045,0.47413,0.27913,1.57206,1.55943,1.48272,0.000759318,0.000759318,0.000759318
13,3523.08,1.54367,1.60715,1.51451,0.51414,0.50517,0.49348,0.30062,1.53464,1.43533,1.46964,0.000676802,0.000676802,0.000676802
14,3808.84,1.49231,1.56994,1.48149,0.53539,0.49527,0.50087,0.30584,1.5039,1.37597,1.43848,0.000594286,0.000594286,0.000594286
15,4092.68,1.48046,1.49202,1.47226,0.74866,0.43713,0.50875,0.31017,1.51306,1.38597,1.45527,0.000511769,0.000511769,0.000511769
16,4372.38,1.46783,1.43627,1.4624,0.63215,0.47761,0.52088,0.31864,1.48804,1.34794,1.44879,0.000429253,0.000429253,0.000429253
17,4658.77,1.42453,1.42089,1.43539,0.64353,0.48005,0.51728,0.32065,1.47722,1.33801,1.42011,0.000346736,0.000346736,0.000346736
18,4939.56,1.43863,1.37012,1.43118,0.69392,0.47084,0.52754,0.32437,1.46794,1.30862,1.41319,0.00026422,0.00026422,0.00026422
19,5224.29,1.40927,1.36449,1.4187,0.6449,0.50139,0.53013,0.32834,1.45958,1.29633,1.40572,0.000181703,0.000181703,0.000181703
20,5505.87,1.39694,1.32888,1.4101,0.64849,0.49042,0.52963,0.32944,1.45484,1.2931,1.40627,9.91865e-05,9.91865e-05,9.91865e-05
