epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,219.21,1.18481,1.17729,1.25302,0.62986,0.51015,0.5443,0.33332,1.22515,1.2132,1.29769,0.00998102,0.00332701,0.00998102,0.00332701,0.00998102,0.00332701,0.00998102,0.00332701
2,396.637,1.39061,1.38449,1.38597,0.51253,0.43026,0.43188,0.23937,1.47792,1.78652,1.48036,0.0199151,0.00663836,0.0199151,0.00663836,0.0199151,0.00663836,0.0199151,0.00663836
3,567.562,1.61331,1.75523,1.56687,0.37375,0.32363,0.29771,0.14344,1.78261,2.00561,1.75593,0.0297831,0.00992772,0.0297831,0.00992772,0.0297831,0.00992772,0.0297831,0.00992772
4,736.258,1.75461,1.98571,1.69038,0.50288,0.27809,0.30069,0.14787,1.76931,2.08486,1.78593,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,904.424,1.72612,1.93032,1.67548,0.43249,0.34717,0.33807,0.16604,1.73198,1.89745,1.72666,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1073.47,1.67779,1.83674,1.63691,0.42832,0.37223,0.35404,0.17507,1.71528,1.7867,1.71184,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1242.14,1.64147,1.8076,1.62897,0.47592,0.34781,0.35488,0.18414,1.66954,1.77399,1.67035,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1410.99,1.61663,1.7448,1.59247,0.46225,0.3748,0.38097,0.20325,1.58659,1.72085,1.60548,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1580.42,1.57472,1.70413,1.56674,0.4781,0.40454,0.39936,0.21577,1.53032,1.65906,1.57289,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1781.54,1.55065,1.64575,1.55177,0.48337,0.41552,0.41794,0.22604,1.53224,1.56058,1.56389,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2000.96,1.52216,1.62219,1.52854,0.48754,0.41196,0.42097,0.23232,1.50466,1.5614,1.54424,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2169.14,1.51888,1.59075,1.52265,0.5084,0.43375,0.44766,0.25136,1.45715,1.47253,1.49868,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2337.36,1.49586,1.56136,1.5074,0.52638,0.42627,0.44708,0.25471,1.43906,1.45547,1.49565,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2505.9,1.47375,1.52442,1.48331,0.51659,0.42949,0.44596,0.25283,1.47471,1.50252,1.51695,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2693.33,1.45765,1.48597,1.47621,0.50934,0.43914,0.44861,0.25575,1.43673,1.43527,1.49308,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2876.98,1.44467,1.48092,1.4639,0.53195,0.45344,0.46845,0.26942,1.40387,1.38669,1.46741,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3063.88,1.43381,1.4628,1.45574,0.549,0.45311,0.46863,0.27239,1.39901,1.39229,1.44263,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3253.12,1.41105,1.44053,1.44079,0.53675,0.45544,0.47436,0.27864,1.40479,1.36817,1.46613,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3440.12,1.39535,1.40961,1.4449,0.55554,0.4687,0.48085,0.28033,1.38054,1.38079,1.44203,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,3620.45,1.38846,1.40339,1.43608,0.53244,0.47253,0.48393,0.28229,1.38817,1.3324,1.45317,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,3804.17,1.37789,1.38204,1.41739,0.56554,0.46882,0.49049,0.29014,1.36272,1.3408,1.42821,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,3990.92,1.37455,1.37498,1.41116,0.52975,0.46689,0.47734,0.28411,1.34583,1.33617,1.42658,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4179.31,1.36882,1.35786,1.4084,0.56433,0.45757,0.49382,0.29446,1.3444,1.28836,1.40944,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4365.41,1.34622,1.32719,1.39556,0.55159,0.47314,0.48696,0.29101,1.35654,1.3612,1.42424,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,4552.21,1.3411,1.31648,1.39195,0.56754,0.4754,0.50067,0.29562,1.34711,1.26306,1.41966,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,4739.21,1.32836,1.30297,1.38148,0.54538,0.52066,0.51305,0.30543,1.33104,1.28898,1.40929,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,4930.18,1.33164,1.28573,1.38334,0.57926,0.48341,0.51181,0.30725,1.31262,1.26227,1.38849,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5116.52,1.31448,1.28768,1.37533,0.56403,0.48552,0.51263,0.31141,1.3324,1.2422,1.4084,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5302.16,1.31397,1.28437,1.37511,0.56291,0.49978,0.51411,0.30845,1.31579,1.24047,1.40399,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,5487.46,1.30381,1.24503,1.35761,0.57108,0.49887,0.51399,0.30968,1.30801,1.24313,1.39391,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,5673.87,1.29014,1.25637,1.35649,0.58819,0.48854,0.5195,0.31561,1.29697,1.21842,1.37847,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,5860.38,1.28568,1.23785,1.35867,0.57902,0.48736,0.52249,0.31476,1.30767,1.20486,1.38549,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6046.09,1.28744,1.2312,1.34913,0.59185,0.5065,0.53453,0.32717,1.28667,1.1856,1.37072,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6246.7,1.27116,1.20529,1.34091,0.58517,0.49704,0.52288,0.31324,1.30563,1.20568,1.38838,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,6433.34,1.27967,1.2002,1.33668,0.61243,0.50173,0.53428,0.32283,1.30227,1.18618,1.38572,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
