epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,862.861,1.17084,1.18437,1.19853,0.62055,0.48719,0.52146,0.32505,1.1915,1.10221,1.19295,0.00998492,0.00332831,0.00998492,0.00332831,0.00998492,0.00332831,0.00998492,0.00332831
2,1764.61,1.33237,1.33383,1.2984,0.44729,0.36189,0.33357,0.19016,1.43504,1.48282,1.36435,0.019919,0.00663966,0.019919,0.00663966,0.019919,0.00663966,0.019919,0.00663966
3,2711.67,1.54598,1.65209,1.44242,0.33361,0.16753,0.148,0.07775,1.63577,1.95143,1.54453,0.029787,0.00992901,0.029787,0.00992901,0.029787,0.00992901,0.029787,0.00992901
4,3682.38,1.69741,1.88374,1.56151,0.32019,0.24693,0.21309,0.10896,1.72027,1.90128,1.62092,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,4652.51,1.65353,1.84481,1.54368,0.38439,0.23249,0.20848,0.10892,1.59837,1.75352,1.50563,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,5613.12,1.61204,1.75925,1.51759,0.45103,0.32087,0.31707,0.16702,1.59273,1.66431,1.52025,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,6669.47,1.56421,1.67202,1.48216,0.45434,0.29344,0.29504,0.16242,1.55775,1.6339,1.47609,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
