epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,250.229,1.20927,1.71027,1.26948,0.65137,0.58895,0.61612,0.38863,1.12869,1.43458,1.19915,0.00598522,0.00199507,0.00598522,0.00199507,0.00598522,0.00199507,0.00598522,0.00199507
2,439.918,1.32198,1.76336,1.33548,0.58558,0.52331,0.53151,0.31334,1.2757,1.753,1.27854,0.0119845,0.00399483,0.0119845,0.00399483,0.0119845,0.00399483,0.0119845,0.00399483
3,616.307,1.45186,2.04834,1.42762,0.52728,0.45772,0.43827,0.22993,1.47993,2.16711,1.47328,0.0179808,0.00599361,0.0179808,0.00599361,0.0179808,0.00599361,0.0179808,0.00599361
4,785.641,1.58386,2.33253,1.5275,0.42273,0.42155,0.37415,0.18027,1.607,2.45994,1.5921,0.023972,0.00799068,0.023972,0.00799068,0.023972,0.00799068,0.023972,0.00799068
5,951.895,1.71613,2.56937,1.62974,0.4102,0.37175,0.34652,0.16478,1.71497,2.5959,1.6817,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531
6,1117.8,1.79197,2.70776,1.69055,0.40057,0.37085,0.33111,0.15072,1.7503,3.14667,1.72273,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1282.42,1.77061,2.70253,1.69166,0.42843,0.3576,0.33449,0.16057,1.73243,2.72149,1.67673,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1446.95,1.74529,2.65443,1.67707,0.44998,0.39424,0.38411,0.18941,1.65215,2.51052,1.64379,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1614.73,1.70847,2.57161,1.65156,0.50502,0.37436,0.38725,0.19901,1.62165,2.37463,1.61124,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1785.2,1.68026,2.53758,1.63423,0.47997,0.39116,0.3928,0.19734,1.58912,2.51203,1.6049,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1955.5,1.67149,2.47121,1.62263,0.4967,0.4167,0.41322,0.20756,1.58995,2.41366,1.59277,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,2125.63,1.64583,2.45293,1.61477,0.52075,0.40693,0.41065,0.21444,1.56231,2.39848,1.56626,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2295.38,1.62668,2.37478,1.58794,0.52756,0.43376,0.44643,0.23787,1.51024,2.19417,1.538,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,2474.4,1.59755,2.33137,1.57064,0.53065,0.44322,0.45571,0.23708,1.47878,2.21037,1.50499,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,2656.28,1.58418,2.31038,1.5672,0.52908,0.44975,0.44566,0.23294,1.5151,2.19177,1.53102,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2826.84,1.57273,2.30833,1.56339,0.56869,0.46296,0.47762,0.25455,1.48254,2.08744,1.52187,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,2997.03,1.53594,2.23539,1.53665,0.56629,0.45458,0.48124,0.25768,1.46415,2.04862,1.49496,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,3167.32,1.53619,2.19,1.53211,0.57589,0.46827,0.49253,0.26705,1.44372,1.99705,1.47508,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,3340.36,1.52022,2.19354,1.53569,0.54697,0.47279,0.47957,0.26563,1.4254,1.99734,1.47608,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,3513.69,1.52293,2.16689,1.51667,0.56976,0.46281,0.47869,0.26014,1.45993,2.03606,1.48125,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,3686.87,1.5099,2.13792,1.51498,0.60737,0.46742,0.4918,0.27378,1.41023,1.98537,1.45393,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
