epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,3857.09,1.49638,2.11264,1.50997,0.58298,0.46667,0.49385,0.27735,1.41214,1.95852,1.45207,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,4025.44,1.48999,2.08209,1.49652,0.60726,0.47086,0.5004,0.28175,1.4057,1.92084,1.45442,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,4190.92,1.48155,2.07773,1.49658,0.56285,0.46504,0.48936,0.27354,1.41561,1.98436,1.44887,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,4356.8,1.45716,2.03402,1.47616,0.59672,0.48026,0.52027,0.29607,1.36847,1.87538,1.42674,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,4528.58,1.44429,2.02041,1.47232,0.58336,0.47868,0.51051,0.28315,1.41177,1.90983,1.45418,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,4699.97,1.44566,1.99819,1.46012,0.57732,0.49265,0.50901,0.29054,1.37446,1.88137,1.43176,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,4861.47,1.44606,1.97038,1.45425,0.6215,0.48404,0.52235,0.2954,1.3576,1.86399,1.40709,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,5028.24,1.43049,1.97545,1.44704,0.57669,0.49494,0.51273,0.29191,1.34933,1.85881,1.40165,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,5192.35,1.42472,1.95139,1.44923,0.58962,0.50279,0.52174,0.2958,1.34938,1.85184,1.40821,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,5359.55,1.42247,1.94698,1.4432,0.58528,0.50167,0.52277,0.30007,1.33204,1.84706,1.39055,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,5524.17,1.39777,1.89538,1.42771,0.62751,0.49522,0.53183,0.30455,1.34958,1.79121,1.40946,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,5684.05,1.40086,1.91896,1.43404,0.5623,0.50422,0.52795,0.30216,1.33672,1.80557,1.38956,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,5852.97,1.39598,1.88407,1.43258,0.57536,0.52717,0.53017,0.30151,1.35115,1.78632,1.41127,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,6022.63,1.39025,1.88603,1.42615,0.60825,0.52475,0.55149,0.31698,1.32158,1.74746,1.37888,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,6185.3,1.385,1.86734,1.42173,0.66164,0.49898,0.55078,0.31851,1.34062,1.76641,1.40127,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,6348.29,1.3644,1.85287,1.41367,0.61355,0.53597,0.55375,0.31578,1.33719,1.77295,1.39724,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,6514.74,1.36948,1.83648,1.40973,0.63117,0.49895,0.54419,0.31524,1.31937,1.76338,1.38636,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,6680.08,1.36691,1.81708,1.40587,0.62184,0.51839,0.5496,0.31682,1.31292,1.74373,1.37698,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,6842.28,1.36437,1.8142,1.40098,0.61427,0.52702,0.55106,0.31892,1.30042,1.74515,1.37361,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,7001.01,1.35966,1.80695,1.40446,0.61748,0.51305,0.54232,0.3184,1.31205,1.77079,1.37113,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,7159.53,1.36581,1.82288,1.41316,0.62635,0.52166,0.55284,0.32069,1.3271,1.72674,1.38774,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,7316.94,1.33368,1.75412,1.38499,0.64999,0.51295,0.55524,0.32495,1.31587,1.73634,1.38184,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,7471.53,1.3349,1.75821,1.38373,0.61804,0.53056,0.5616,0.32732,1.30822,1.68751,1.36469,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,7628.47,1.33749,1.75812,1.38753,0.64924,0.51053,0.56509,0.32946,1.29892,1.6827,1.36455,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,7786.99,1.34536,1.76828,1.39346,0.62851,0.51889,0.55225,0.32337,1.29268,1.70169,1.36727,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,7943.82,1.31515,1.72558,1.36852,0.64472,0.52185,0.55959,0.32733,1.30008,1.70307,1.36577,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,8100.8,1.30377,1.70448,1.36868,0.61933,0.52533,0.55523,0.32154,1.3099,1.68309,1.37495,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,8259.54,1.30518,1.69433,1.36543,0.63694,0.53184,0.56282,0.32687,1.31705,1.66083,1.38664,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,8418.44,1.31907,1.70597,1.36503,0.59418,0.54384,0.5611,0.33093,1.29531,1.66084,1.368,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,8577.84,1.30827,1.69035,1.36411,0.61229,0.53697,0.55787,0.32941,1.3,1.67706,1.36703,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
