epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,274.59,1.17624,1.89432,1.27876,0.59713,0.55272,0.55825,0.30955,1.3134,2.24878,1.46866,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583
2,459.865,1.37977,2.17331,1.41632,0.48166,0.44123,0.38917,0.185,1.64105,3.2081,1.73115,0.0199764,0.00665879,0.0199764,0.00665879,0.0199764,0.00665879,0.0199764,0.00665879
3,633.998,1.63803,2.70668,1.61353,0.36843,0.29593,0.23344,0.0974,1.92272,3.72384,2.03263,0.0299708,0.00999027,0.0299708,0.00999027,0.0299708,0.00999027,0.0299708,0.00999027
4,808.013,1.80508,3.07705,1.75356,0.34725,0.29701,0.25662,0.10835,1.92877,3.91618,2.01347,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995
5,982.451,1.77962,3.02133,1.73637,0.36096,0.32385,0.26224,0.11193,1.85064,3.23504,1.97028,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112
6,1156.15,1.72786,2.93704,1.70691,0.43834,0.35538,0.32402,0.14416,1.76244,3.09503,1.86815,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613
7,1329.01,1.67512,2.81272,1.65597,0.4315,0.36703,0.33016,0.14938,1.74113,2.9246,1.85917,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003
8,1503.07,1.6446,2.7132,1.65135,0.44031,0.36432,0.32836,0.14709,1.73913,2.93814,1.85671,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282
9,1676.8,1.62048,2.66487,1.63435,0.44992,0.39867,0.3649,0.17852,1.64774,2.78094,1.76372,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452
10,1851.57,1.59466,2.62095,1.61924,0.41874,0.39335,0.3355,0.1598,1.65588,2.90569,1.77268,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511
11,2025.18,1.56934,2.55739,1.59369,0.46826,0.381,0.3627,0.18162,1.62208,2.79265,1.76786,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446
12,2199.61,1.56192,2.50414,1.58046,0.47191,0.43165,0.40168,0.1987,1.59305,2.58594,1.70498,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299
13,2373.07,1.53101,2.48714,1.56199,0.44568,0.45749,0.41149,0.20573,1.56955,2.5461,1.6948,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029
14,2546.31,1.50985,2.43683,1.55559,0.46902,0.41175,0.38786,0.19562,1.57054,2.72012,1.72936,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065
15,2719.05,1.4991,2.38303,1.53798,0.49578,0.44861,0.43422,0.22502,1.54395,2.49168,1.69117,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163
16,2892.86,1.4813,2.32866,1.53042,0.50968,0.45687,0.44209,0.22648,1.53605,2.4615,1.66571,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566
17,3066.42,1.45907,2.30426,1.51632,0.51152,0.43301,0.43847,0.23052,1.49827,2.51926,1.63912,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862
18,3239.66,1.44477,2.24394,1.49563,0.49567,0.4487,0.43234,0.22313,1.49996,2.41588,1.65083,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051
19,3413.69,1.446,2.23096,1.50001,0.50646,0.46106,0.42889,0.227,1.51081,2.39163,1.65764,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132
20,3587.84,1.43555,2.2051,1.48924,0.48172,0.46875,0.44846,0.24062,1.48985,2.38298,1.63187,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107
21,3761.85,1.41739,2.1756,1.47966,0.52317,0.4901,0.47398,0.24982,1.4837,2.3205,1.64278,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975
22,3935.48,1.40361,2.12937,1.47963,0.56709,0.43898,0.46685,0.24774,1.4694,2.3489,1.60646,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738
23,4108.11,1.39917,2.12019,1.46067,0.54236,0.47182,0.47753,0.25292,1.45063,2.28359,1.61036,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396
24,4281.76,1.38092,2.10148,1.45369,0.54038,0.49415,0.48723,0.26208,1.46362,2.25819,1.60904,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095
25,4454.47,1.37259,2.07159,1.45215,0.532,0.46864,0.47003,0.25329,1.45398,2.30012,1.6186,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399
26,4627.53,1.36928,2.04977,1.43978,0.55358,0.48927,0.50389,0.27495,1.45147,2.15247,1.60541,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746
27,4800.4,1.35751,2.03903,1.44445,0.54018,0.48333,0.47728,0.2613,1.44659,2.23486,1.59336,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299
28,4974.25,1.34993,2.00519,1.43788,0.5711,0.49267,0.5132,0.27895,1.4205,2.10598,1.56014,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131
29,5147.91,1.3394,1.98852,1.42653,0.57702,0.49802,0.51217,0.27846,1.41496,2.17815,1.56074,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172
30,5321.67,1.33697,1.97022,1.42585,0.55428,0.50636,0.51245,0.28065,1.42392,2.13095,1.57442,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,5495.06,1.33111,1.93748,1.41428,0.58944,0.51004,0.52085,0.28685,1.39454,2.17676,1.56425,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
