epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.71,1.61632,2.7317,1.57899,0.49366,0.3911,0.38721,0.19538,1.81474,2.93866,1.82724,0.000553682,0.000553682,0.000553682
2,582.759,1.79178,2.25724,1.71789,0.40182,0.28794,0.28001,0.15348,1.96862,2.9792,1.8816,0.00105444,0.00105444,0.00105444
3,924.324,1.80012,2.07123,1.72018,0.47583,0.33642,0.32429,0.19335,1.81611,2.29142,1.77722,0.00150018,0.00150018,0.00150018
4,1289.43,1.76993,1.97483,1.72251,0.43797,0.34193,0.33496,0.19472,1.77471,1.94054,1.74021,0.00141945,0.00141945,0.00141945
5,1653.24,1.70265,1.86803,1.68195,0.6898,0.33943,0.39968,0.2338,1.73364,1.67379,1.69285,0.00133693,0.00133693,0.00133693
6,1991.5,1.70218,1.82712,1.68085,0.43448,0.43646,0.41942,0.24415,1.70629,1.57907,1.71451,0.00125442,0.00125442,0.00125442
7,2316.13,1.6524,1.78429,1.64624,0.50363,0.20327,0.19904,0.11558,1.97804,2.96116,2.17268,0.0011719,0.0011719,0.0011719
8,2629.14,1.60952,1.70291,1.60934,0.49093,0.46545,0.45659,0.26094,1.67276,1.47799,1.65754,0.00108938,0.00108938,0.00108938
9,2941.57,1.61508,1.66245,1.59922,0.58611,0.42958,0.47412,0.28087,1.5683,1.47194,1.57913,0.00100687,0.00100687,0.00100687
10,3243.81,1.56381,1.59008,1.57372,0.5455,0.46403,0.47872,0.28239,1.58132,1.37978,1.59174,0.000924352,0.000924352,0.000924352
11,3532.44,1.53578,1.40786,1.5881,0.48525,0.49171,0.48623,0.29377,1.49988,1.38125,1.52756,0.000841835,0.000841835,0.000841835
12,3828.9,1.51062,1.37578,1.57234,0.52626,0.50186,0.48957,0.28121,1.59424,1.40049,1.56093,0.000759318,0.000759318,0.000759318
13,4114.23,1.50438,1.33685,1.56304,0.6061,0.48838,0.50387,0.30525,1.50952,1.39453,1.53292,0.000676802,0.000676802,0.000676802
14,4391.25,1.47617,1.32286,1.54879,0.61667,0.48046,0.50664,0.29838,1.52532,1.30357,1.52004,0.000594286,0.000594286,0.000594286
15,4689.12,1.46258,1.27481,1.52513,0.66673,0.49019,0.52305,0.31087,1.50021,1.26658,1.50833,0.000511769,0.000511769,0.000511769
16,5009.26,1.44168,1.24307,1.51397,0.64498,0.50203,0.53731,0.32679,1.48015,1.24345,1.49854,0.000429253,0.000429253,0.000429253
17,5330.92,1.42285,1.19998,1.50419,0.60655,0.52591,0.52373,0.31691,1.46516,1.24137,1.48942,0.000346736,0.000346736,0.000346736
18,5650.54,1.41151,1.17286,1.48616,0.65448,0.5244,0.54302,0.32596,1.46831,1.22168,1.48705,0.00026422,0.00026422,0.00026422
19,5969.81,1.39062,1.16469,1.48212,0.65197,0.53185,0.54708,0.33248,1.44103,1.19903,1.47352,0.000181703,0.000181703,0.000181703
20,6288.81,1.35887,1.12102,1.45183,0.65489,0.53379,0.54436,0.33395,1.42724,1.18197,1.4564,9.91865e-05,9.91865e-05,9.91865e-05
