epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3378,1.3001,2.50155,1.54968,0.53992,0.42857,0.42805,0.21683,1.31529,2.49798,1.9866,0.00055011,0.00055011,0.00055011
2,182.45,1.47207,2.35849,1.65123,0.37256,0.43452,0.34742,0.17534,1.39481,2.44427,1.91181,0.00105104,0.00105104,0.00105104
3,272.57,1.49497,2.25088,1.70664,0.61851,0.375,0.41659,0.19559,1.44121,2.95638,2.19172,0.00149696,0.00149696,0.00149696
4,365.599,1.57553,2.21498,1.72628,0.49312,0.39377,0.39984,0.21431,1.55494,2.17785,2.02999,0.00141945,0.00141945,0.00141945
