epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2182.4,1.67083,2.12327,1.69881,0.37202,0.32894,0.30529,0.14319,1.5714,4.39459,1.60856,0.000990365,0.000990365,0.000990365
43,2234.04,1.69286,2.18072,1.70816,0.40105,0.32664,0.31811,0.14582,1.58157,4.99189,1.60659,0.000973861,0.000973861,0.000973861
44,2287.57,1.68205,2.14901,1.71165,0.38005,0.33973,0.31709,0.14491,1.56457,5.88258,1.60413,0.000957358,0.000957358,0.000957358
45,2339.99,1.68267,2.14267,1.70315,0.40218,0.33532,0.33022,0.15513,1.54073,4.74087,1.57346,0.000940855,0.000940855,0.000940855
46,2390.64,1.66235,2.17207,1.6786,0.38245,0.33026,0.31654,0.15175,1.52012,4.80697,1.57381,0.000924352,0.000924352,0.000924352
47,2435.76,1.66917,2.09255,1.68947,0.41205,0.30306,0.31433,0.14537,1.56913,3.37926,1.60728,0.000907848,0.000907848,0.000907848
48,2488.52,1.65312,2.19016,1.68544,0.38404,0.35417,0.33506,0.15485,1.53094,5.13832,1.57403,0.000891345,0.000891345,0.000891345
49,2539.75,1.62892,2.20846,1.68318,0.35015,0.35962,0.32488,0.15427,1.52104,4.72993,1.55647,0.000874842,0.000874842,0.000874842
50,2587.84,1.64473,2.06417,1.68187,0.39016,0.34673,0.33438,0.15577,1.52129,5.02871,1.56491,0.000858338,0.000858338,0.000858338
51,2632.6,1.66018,2.06096,1.67528,0.39076,0.37668,0.35269,0.17265,1.49977,5.05497,1.53688,0.000841835,0.000841835,0.000841835
52,2677.22,1.63023,2.06215,1.66901,0.35899,0.36219,0.32269,0.15037,1.52438,5.82485,1.57001,0.000825332,0.000825332,0.000825332
53,2721.72,1.65299,2.0917,1.6754,0.39996,0.34775,0.33684,0.1616,1.51636,4.51306,1.54799,0.000808828,0.000808828,0.000808828
54,2766.28,1.60208,2.0512,1.64134,0.41121,0.35427,0.35554,0.17315,1.5172,3.94868,1.55925,0.000792325,0.000792325,0.000792325
55,2810.72,1.6137,2.01307,1.65259,0.41456,0.36407,0.35774,0.17457,1.52154,4.39975,1.55788,0.000775822,0.000775822,0.000775822
56,2855.33,1.62471,2.08467,1.65712,0.42606,0.3391,0.35599,0.17387,1.53491,3.16838,1.55708,0.000759318,0.000759318,0.000759318
57,2900.94,1.61917,2.10411,1.63852,0.39447,0.37323,0.34612,0.16484,1.50343,5.05849,1.53478,0.000742815,0.000742815,0.000742815
58,2946.18,1.60821,2.01225,1.64431,0.43958,0.35316,0.36534,0.17853,1.51139,4.03648,1.54856,0.000726312,0.000726312,0.000726312
59,2993.16,1.60548,1.98833,1.62333,0.40974,0.37742,0.35301,0.16574,1.52495,3.83181,1.55719,0.000709809,0.000709809,0.000709809
60,3044.09,1.60605,1.99952,1.63342,0.4278,0.34449,0.35495,0.169,1.52444,4.62747,1.54544,0.000693305,0.000693305,0.000693305
61,3095.46,1.59961,1.96991,1.62036,0.43204,0.37961,0.37694,0.18042,1.50114,3.21525,1.52815,0.000676802,0.000676802,0.000676802
