epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,902.906,1.61414,2.4527,1.37407,0.30234,0.28939,0.25105,0.11962,1.89719,2.54543,1.62724,0.000554829,0.000554829,0.000554829
2,1823.95,1.87515,2.37663,1.53971,0.31558,0.32746,0.28122,0.13822,1.8467,2.28296,1.55372,0.00107385,0.00107385,0.00107385
3,2751.66,1.85876,2.36918,1.52941,0.39203,0.29878,0.28227,0.13618,1.81256,2.35234,1.56838,0.0015562,0.0015562,0.0015562
4,3762.63,1.79455,2.27657,1.50242,0.38291,0.33177,0.30952,0.15949,1.74533,2.13659,1.51534,0.00150197,0.00150197,0.00150197
5,4689.39,1.76992,2.19206,1.48258,0.39594,0.35668,0.33317,0.1778,1.66953,2.07129,1.452,0.00144696,0.00144696,0.00144696
6,5664.72,1.71601,2.09323,1.44103,0.42235,0.37937,0.3614,0.19796,1.64553,1.98005,1.44999,0.00139195,0.00139195,0.00139195
7,6672.26,1.69127,2.04061,1.4251,0.47446,0.3829,0.38967,0.21553,1.6234,1.89069,1.43567,0.00133693,0.00133693,0.00133693
8,7698.84,1.65635,1.97449,1.4117,0.42778,0.39802,0.38139,0.21198,1.58592,1.86636,1.41884,0.00128192,0.00128192,0.00128192
9,8729.63,1.64016,1.92937,1.40064,0.50521,0.39618,0.41503,0.23098,1.5774,1.78863,1.41683,0.00122691,0.00122691,0.00122691
